column,feature_group,data_type,pct_missing,description
match_id,match_context,numeric,0,Unique match identifier inherited from the cleaned input dataset.
match_date,match_context,Date,0,Standardized match date used for chronological feature construction.
tourney_date,match_context,Date,0,Tournament start date from the cleaned input file.
tourney_id,match_context,character,0,Tournament identifier from the cleaned input file.
tourney_name,match_context,character,0,Tournament name from the cleaned input file.
tourney_level,match_context,character,0,ATP tournament level code.
round,match_context,character,0,Round code from the cleaned input file.
surface,match_context,character,0,Match surface category.
best_of,match_context,numeric,0,Scheduled best-of format when available.
draw_size,match_context,numeric,0,Tournament draw size when available.
match_num,match_context,numeric,0,Within-tournament match number used in deterministic tie-breaking.
player_A_id,player_identity,numeric,0,Player A identifier. Player A is the higher-ranked player before the match.
player_A_name,player_identity,character,0,Player A name from the cleaned input file.
player_B_id,player_identity,numeric,0,Player B identifier. Player B is the lower-ranked player before the match.
player_B_name,player_identity,character,0,Player B name from the cleaned input file.
winner_id,player_identity,numeric,0,Original winner identifier from the cleaned input file.
winner_name,player_identity,character,0,Original winner name from the cleaned input file.
loser_id,player_identity,numeric,0,Original loser identifier from the cleaned input file.
loser_name,player_identity,character,0,Original loser name from the cleaned input file.
rank_A,ranking,numeric,0,Pre-match ATP rank for Player A; lower numeric value means stronger rank.
rank_B,ranking,numeric,0,Pre-match ATP rank for Player B.
rank_diff,ranking,numeric,0,Ranking gap defined as rank_B minus rank_A.
rank_ratio,ranking,numeric,0,Ranking ratio defined as rank_B divided by rank_A when both ranks are positive.
rank_points_A,ranking,numeric,0,Pre-match ATP ranking points for Player A.
rank_points_B,ranking,numeric,0,Pre-match ATP ranking points for Player B.
outcome_A_win,target,integer,0,Binary target equal to 1 when Player A won and 0 when Player A lost.
lag_rank_1wk_A,ranking,numeric,0,Pre-match value for Player A of lag_rank_1wk computed from prior data only.
lag_rank_4wk_A,ranking,numeric,0,Pre-match value for Player A of lag_rank_4wk computed from prior data only.
lag_points_1wk_A,ranking,numeric,0,Pre-match value for Player A of lag_points_1wk computed from prior data only.
lag_points_4wk_A,ranking,numeric,0,Pre-match value for Player A of lag_points_4wk computed from prior data only.
rank_change_1wk_A,ranking,numeric,0,Pre-match value for Player A of rank_change_1wk computed from prior data only.
rank_change_4wk_A,ranking,numeric,0,Pre-match value for Player A of rank_change_4wk computed from prior data only.
points_change_1wk_A,ranking,numeric,0,Pre-match value for Player A of points_change_1wk computed from prior data only.
points_change_4wk_A,ranking,numeric,0,Pre-match value for Player A of points_change_4wk computed from prior data only.
avg_rank_4wk_A,ranking,numeric,0,Pre-match value for Player A of avg_rank_4wk computed from prior data only.
avg_rank_8wk_A,ranking,numeric,0,Pre-match value for Player A of avg_rank_8wk computed from prior data only.
sd_rank_8wk_A,ranking,numeric,0,Pre-match value for Player A of sd_rank_8wk computed from prior data only.
avg_points_4wk_A,ranking,numeric,0,Pre-match value for Player A of avg_points_4wk computed from prior data only.
avg_points_8wk_A,ranking,numeric,0,Pre-match value for Player A of avg_points_8wk computed from prior data only.
sd_points_8wk_A,ranking,numeric,0,Pre-match value for Player A of sd_points_8wk computed from prior data only.
lag_rank_1wk_B,ranking,numeric,0,Pre-match value for Player B of lag_rank_1wk computed from prior data only.
lag_rank_4wk_B,ranking,numeric,0.015,Pre-match value for Player B of lag_rank_4wk computed from prior data only.
lag_points_1wk_B,ranking,numeric,0,Pre-match value for Player B of lag_points_1wk computed from prior data only.
lag_points_4wk_B,ranking,numeric,0.015,Pre-match value for Player B of lag_points_4wk computed from prior data only.
rank_change_1wk_B,ranking,numeric,0,Pre-match value for Player B of rank_change_1wk computed from prior data only.
